"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
144501,448.252499988535,6.6230680822415,0.308950062792968,21.4373417579776,5.99411815720283e-102,1.63267790365891e-97
2118,2682.62233221275,5.31997337674939,0.259319282454255,20.5151476835814,1.57688985236268e-93,2.14756628993274e-89
5354,254.42152475749,-5.7383448372628,0.281104432337862,-20.4135693967494,1.2668634222238e-92,1.15022752981773e-88
266675,2099.6449842767,-6.15917680995737,0.310098670352056,-19.8619903883007,8.68015050197436e-88,5.91074848431944e-84
2906,1038.56550435505,4.68489842137997,0.238713990373215,19.6255712287974,9.3520033564298e-86,5.0945973484487e-82
92736,1313.4741542927,-8.77730374537711,0.447651867476325,-19.6074324337345,1.33608690588127e-85,6.065389190399e-82
100131825,236.107954774462,-4.75767312862512,0.244384725778711,-19.4679643478749,2.05268141153455e-84,7.98727661248257e-81
1301,766.389760217351,5.57672924417601,0.297333363313154,18.7558139525114,1.735405062534e-78,5.90862038666265e-75
9076,845.621598203008,4.60386892239663,0.24854513840746,18.5232708710204,1.34040584907508e-76,4.05666383523412e-73
343,11913.5266590086,-7.21230809822047,0.393791216766817,-18.3150557735553,6.27625795940658e-75,1.70952714298316e-71
10590,428.188270254727,-5.30604557532133,0.289821659755482,-18.3079676646596,7.14885879873708e-75,1.77018741781819e-71
11082,105.656033969726,5.66404800187105,0.3107330795556,18.2280174675048,3.09332922545125e-74,7.02134178690342e-71
192666,94.1768062607462,-8.33671137003476,0.457832033881451,-18.209104547266,4.37036299593789e-74,9.15691902179663e-71
766,2145.41377768847,-5.89395127222508,0.324440165439182,-18.1665277609715,9.50247071955728e-74,1.84877355328072e-70
57863,525.730269355397,-5.09758258669246,0.280701935522442,-18.160126246386,1.06778871340939e-73,1.938961931723e-70
7472,190.959084929368,6.33043023657386,0.349175674873474,18.1296427331822,1.85963394658332e-73,3.16579433981477e-70
4118,107.231446769087,-4.45489436048585,0.247680635906973,-17.9864459091548,2.48812921663389e-72,3.98656844721611e-69
